	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
147	MA0159.1	RARA::RXRA	RARA	ENSG00000131759	['ENST00000254066', 'ENST00000394081', 'ENST00000394086', 'ENST00000394089', 'ENST00000420042', 'ENST00000425707', 'ENST00000475125', 'ENST00000577646', 'ENST00000579727', 'ENST00000582914']
148	MA0160.1	NR4A2	NR4A2	ENSG00000153234	['ENST00000339562', 'ENST00000406048', 'ENST00000409108', 'ENST00000409572', 'ENST00000417764', 'ENST00000417972', 'ENST00000421709', 'ENST00000424077', 'ENST00000426264', 'ENST00000429376']
149	MA0161.1	NFIC	NFIC	ENSG00000141905	['ENST00000341919', 'ENST00000395111', 'ENST00000443272', 'ENST00000586919', 'ENST00000588839', 'ENST00000589123', 'ENST00000589164', 'ENST00000589537', 'ENST00000589969', 'ENST00000590282', 'ENST00000641145']
150	MA0161.2	NFIC	NFIC	ENSG00000141905	['ENST00000341919', 'ENST00000395111', 'ENST00000443272', 'ENST00000586919', 'ENST00000588839', 'ENST00000589123', 'ENST00000589164', 'ENST00000589537', 'ENST00000589969', 'ENST00000590282', 'ENST00000641145']
151	MA0162.2	EGR1	EGR1	ENSG00000120738	ENST00000239938
152	MA0162.3	EGR1	EGR1	ENSG00000120738	ENST00000239938
153	MA0163.1	PLAG1	PLAG1	ENSG00000181690	['ENST00000316981', 'ENST00000423799', 'ENST00000429357', 'ENST00000519027', 'ENST00000522009']
154	MA0258.1	ESR2	ESR2	ENSG00000140009	['ENST00000267525', 'ENST00000341099', 'ENST00000344288', 'ENST00000353772', 'ENST00000358599', 'ENST00000553796', 'ENST00000554520', 'ENST00000554572', 'ENST00000555278', 'ENST00000555483', 'ENST00000555783', 'ENST00000556275', 'ENST00000557772']
155	MA0258.2	ESR2	ESR2	ENSG00000140009	['ENST00000267525', 'ENST00000341099', 'ENST00000344288', 'ENST00000353772', 'ENST00000358599', 'ENST00000553796', 'ENST00000554520', 'ENST00000554572', 'ENST00000555278', 'ENST00000555483', 'ENST00000555783', 'ENST00000556275', 'ENST00000557772']
156	MA0259.1	ARNT::HIF1A	ARNT	ENSG00000143437	['ENST00000354396', 'ENST00000358595', 'ENST00000468970', 'ENST00000471844', 'ENST00000478972', 'ENST00000497108', 'ENST00000504358', 'ENST00000505755', 'ENST00000505979', 'ENST00000510273', 'ENST00000512296', 'ENST00000515192']
157	MA0442.1	SOX10	SOX10	ENSG00000100146	['ENST00000360880', 'ENST00000396884', 'ENST00000427770', 'ENST00000446929', 'ENST00000470555', 'ENST00000651746', 'ENST00000652356']
158	MA0442.2	SOX10	SOX10	ENSG00000100146	['ENST00000360880', 'ENST00000396884', 'ENST00000427770', 'ENST00000446929', 'ENST00000470555', 'ENST00000651746', 'ENST00000652356']
159	MA0462.1	BATF::JUN	BATF	ENSG00000156127	['ENST00000286639', 'ENST00000555504', 'ENST00000555795']
160	MA0464.2	BHLHE40	BHLHE40	ENSG00000134107	['ENST00000256495', 'ENST00000460806', 'ENST00000467610']
161	MA0465.1	CDX2	CDX2	ENSG00000165556	['ENST00000381020', 'ENST00000548877']
162	MA0466.1	CEBPB	CEBPB	ENSG00000172216	ENST00000303004
163	MA0466.2	CEBPB	CEBPB	ENSG00000172216	ENST00000303004
164	MA0468.1	DUX4	DUX4	ENSG00000260596	['ENST00000563716', 'ENST00000564366', 'ENST00000565211', 'ENST00000569241', 'ENST00000570263', 'ENST00000616166']
165	MA0469.2	E2F3	E2F3	ENSG00000112242	['ENST00000346618', 'ENST00000535432', 'ENST00000613242']
166	MA0470.1	E2F4	E2F4	ENSG00000205250	['ENST00000379378', 'ENST00000561904', 'ENST00000563238', 'ENST00000564718', 'ENST00000565226', 'ENST00000565849', 'ENST00000566368', 'ENST00000567007', 'ENST00000567228', 'ENST00000568485', 'ENST00000568693', 'ENST00000568839', 'ENST00000569573']
167	MA0471.1	E2F6	E2F6	ENSG00000169016	['ENST00000307236', 'ENST00000381525', 'ENST00000421117', 'ENST00000428221', 'ENST00000437573', 'ENST00000444832', 'ENST00000455198', 'ENST00000468775', 'ENST00000471343', 'ENST00000498701', 'ENST00000542100', 'ENST00000546212']
168	MA0472.2	EGR2	EGR2	ENSG00000122877	['ENST00000242480', 'ENST00000411732', 'ENST00000439032', 'ENST00000493899', 'ENST00000637191', 'ENST00000639815']
169	MA0473.1	ELF1	ELF1	ENSG00000120690	['ENST00000239882', 'ENST00000405737', 'ENST00000498824', 'ENST00000625359', 'ENST00000635415']
170	MA0473.2	ELF1	ELF1	ENSG00000120690	['ENST00000239882', 'ENST00000405737', 'ENST00000498824', 'ENST00000625359', 'ENST00000635415']
171	MA0474.2	ERG	ERG	ENSG00000157554	['ENST00000288319', 'ENST00000398897', 'ENST00000398905', 'ENST00000398907', 'ENST00000398910', 'ENST00000398911', 'ENST00000398919', 'ENST00000417133', 'ENST00000429727', 'ENST00000442448', 'ENST00000453032', 'ENST00000468474', 'ENST00000473107', 'ENST00000481609', 'ENST00000485493', 'ENST00000492833']
172	MA0475.1	FLI1	FLI1	ENSG00000151702	['ENST00000281428', 'ENST00000344954', 'ENST00000429175', 'ENST00000527767', 'ENST00000527786', 'ENST00000528790', 'ENST00000534087', 'ENST00000608055', 'ENST00000608303']
